case,model,order,version,n,time_sec
1,2,6,1,180,0.2053201226517558
1,2,6,1,190,0.2164995656348765
1,2,6,1,200,0.22773067373782396
1,2,6,1,210,0.23901126207783818
1,2,6,1,220,0.2511679087765515
1,2,6,1,230,0.2628454430960119
1,2,6,1,240,0.27305422630161047
1,2,6,1,250,0.2857999852858484
1,2,6,1,260,0.2965971198864281
1,2,6,1,270,0.30907135596498847
1,2,6,1,280,0.31884166691452265
1,2,6,1,290,0.33186381915584207
1,2,6,1,300,0.34160025930032134
1,2,6,1,310,0.3529483759775758
1,2,6,1,320,0.36481967894360423
1,2,6,1,330,0.37544233864173293
1,2,6,1,340,0.3883576071821153
1,2,6,1,350,0.3986439141444862
1,2,6,1,360,0.41008931305259466
1,2,6,1,370,0.4215824971906841
1,2,6,1,380,0.4317505662329495
1,2,6,1,390,0.44428460439667106
1,2,6,1,400,0.45460112718865275
1,2,6,1,410,0.46699377009645104
1,2,6,1,420,0.48342696810141206
1,2,6,1,430,0.5002123978920281
1,2,6,1,440,0.5025075660087168
1,2,6,1,450,0.5148361786268651
1,2,6,1,460,0.523514071945101
1,2,6,1,470,0.5370524059981108
1,2,6,1,480,0.5480640651658177
1,2,6,1,490,0.5605902778916061
1,2,6,1,500,0.5715971877798438
1,2,6,1,510,0.5832254122942686
1,2,6,1,520,0.5932335080578923
1,2,6,1,530,0.6054021860472858
1,2,6,1,540,0.6161114629358053
1,2,6,1,550,0.6281576231122017
1,2,6,1,560,0.6383621618151665
1,2,6,1,570,0.6496356171555817
1,2,6,1,580,0.6595949176698923
1,2,6,1,590,0.6706994562409818
1,2,6,2,20,0.022797048091888428
1,2,6,2,30,0.03410456422716379
1,2,6,2,40,0.04528796626254916
1,2,6,2,50,0.056942971888929605
1,2,6,2,60,0.06834507314488292
1,2,6,2,70,0.07997139496728778
1,2,6,2,80,0.09093553386628628
1,2,6,2,90,0.10258719976991415
1,2,6,2,100,0.11349460389465094
1,2,6,2,110,0.1257533491589129
1,2,6,2,120,0.1362767582759261
1,2,6,2,130,0.14807525696232915
1,2,6,2,140,0.15963077917695045
1,2,6,2,150,0.17145720589905977
1,2,6,2,160,0.18221949692815542
1,2,6,2,170,0.19399465201422572
1,2,6,2,180,0.2059338833205402
1,2,6,2,190,0.21661906316876411
1,2,6,2,200,0.22802002681419253
1,2,6,2,210,0.23981814878061414
1,2,6,2,220,0.24997331015765667
1,2,6,2,230,0.26283930987119675
1,2,6,2,240,0.27723987912759185
1,2,6,2,250,0.28652148600667715
1,2,6,2,260,0.29993397276848555
1,2,6,2,270,0.31176903704181314
1,2,6,2,280,0.32216867012903094
1,2,6,2,290,0.33074654499068856
1,2,6,2,300,0.3419879130087793
1,2,6,2,310,0.35383225232362747
1,2,6,2,320,0.3639186732470989
1,2,6,2,330,0.375784067902714
1,2,6,2,340,0.3863640669733286
1,2,6,2,350,0.3986101350747049
1,2,6,2,360,0.4088102728128433
1,2,6,2,370,0.421348097268492
1,2,6,2,380,0.4315514019690454
1,2,6,2,390,0.4441613629460335
1,2,6,2,400,0.454453753773123
1,2,6,2,410,0.46785393776372075
1,2,6,2,420,0.4775721626356244
1,2,6,2,430,0.4905718374066055
1,2,6,2,440,0.5002221739850938
1,2,6,2,450,0.512941800057888
1,2,6,2,460,0.5226996140554547
1,2,6,2,470,0.5360127720050514
1,2,6,2,480,0.548098610714078
1,2,6,2,490,0.563309061806649
1,2,6,2,500,0.5681818248704076
1,2,6,2,510,0.5796168469823897
1,2,6,2,520,0.5930361528880894
1,2,6,2,530,0.6032636752352118
1,2,6,2,540,0.6172179351560771
1,2,6,2,550,0.6291187577880919
1,2,6,2,560,0.6379359969869256
1,2,6,2,570,0.649732762016356
1,2,6,2,580,0.6621975302696228
1,2,6,2,590,0.6721655777655542
1,2,8,1,20,0.022780741099268198
1,2,8,1,30,0.03434925293549895
1,2,8,1,40,0.045745315961539745
1,2,8,1,50,0.05695777805522084
1,2,8,1,60,0.06861610477790236
1,2,8,1,70,0.07997661689296365
1,2,8,1,80,0.09138938970863819
1,2,8,1,90,0.10367964301258326
1,2,8,1,100,0.11411200696602464
1,2,8,1,110,0.12574465479701757
1,2,8,1,120,0.1370143899694085
1,2,8,1,130,0.1488096108660102
1,2,8,1,140,0.1596501311287284
1,2,8,1,150,0.17074837302789092
1,2,8,1,160,0.18299307394772768
1,2,8,1,170,0.1942227417603135
1,2,8,1,180,0.20541032403707504
1,2,8,1,190,0.21651992201805115
1,2,8,1,200,0.22745796386152506
